medicine_name,indication,contraindications,pregnancy_category,source,pregnancy_risk
acarbose,diabetes (type 2),"renal failure, severe hepatic impairment, hypersensitivity to acarbose, concurrent alpha-glucosidase inhibitors, concurrent warfarin, pregnancy",B,drugsdotcom,LOW
acebutolol,hypertension,"hepatic impairment, severe bradycardia, heart block, asthma, severe chronic obstructive pulmonary disease, hypersensitivity, severe renal failure, pregnancy (category C), concurrent beta-blockers, concurrent calcium channel blockers, concurrent MAOIs, concurrent clonidine.",B,drugsdotcom,LOW
acetaminophen,pain,"hepatic impairment, severe renal failure, hypersensitivity, concurrent warfarin, concurrent isoniazid, concurrent phenobarbital, concurrent carbamazepine, concurrent rifampicin, concurrent zidovudine, concurrent valproic acid, concurrent NSAIDs, severe dehydration, pregnancy (third trimester), severe alcohol use.",C,drugsdotcom,MEDIUM
acetaminophen (injection),pain,"hepatic impairment, severe renal failure, hypersensitivity, concurrent warfarin, concurrent isoniazid, concurrent phenobarbital, concurrent carbamazepine, concurrent rifampicin, concurrent zidovudine, concurrent valproic acid, concurrent NSAIDs, severe dehydration, pregnancy (third trimester), severe alcohol use.",C,drugsdotcom,MEDIUM
"acetaminophen (oral route, rectal route)",pain,"hepatic impairment, severe renal failure, hypersensitivity, concurrent warfarin, concurrent isoniazid, concurrent phenobarbital, concurrent carbamazepine, concurrent rifampicin, concurrent zidovudine, concurrent valproic acid, concurrent NSAIDs, severe dehydration, pregnancy (third trimester), severe alcohol use.",C,drugsdotcom,MEDIUM
acetaminophen (oral),pain,"hepatic impairment, severe renal failure, hypersensitivity, concurrent warfarin, concurrent isoniazid, concurrent phenobarbital, concurrent carbamazepine, concurrent rifampicin, concurrent zidovudine, concurrent valproic acid, concurrent NSAIDs, severe dehydration, pregnancy (third trimester), severe alcohol use.",C,drugsdotcom,MEDIUM
acetaminophen (rectal),pain,"hepatic impairment, severe renal failure, hypersensitivity, concurrent warfarin, concurrent isoniazid, concurrent phenobarbital, concurrent carbamazepine, concurrent rifampicin, concurrent zidovudine, concurrent valproic acid, concurrent NSAIDs, severe dehydration, pregnancy (third trimester), severe alcohol use.",C,drugsdotcom,MEDIUM
acetaminophen and benzhydrocodone,pain,"hepatic impairment, severe respiratory depression, acute respiratory depression, severe renal impairment, hypersensitivity to codeine or acetaminophen, concurrent MAOIs, concurrent CYP3A4 inhibitors, pregnancy, concurrent opioids, concurrent sedatives, concurrent CNS depressants, concurrent alcohol use.",N,drugsdotcom,UNKNOWN
acetaminophen and hydrocodone,pain,"hepatic impairment, renal failure, severe respiratory depression, acute respiratory depression, severe respiratory disease, severe asthma, severe COPD, hypersensitivity to hydrocodone or acetaminophen, concurrent MAOIs, concurrent CYP3A4 inhibitors, pregnancy, breastfeeding, concurrent benzodiazepines, concurrent opioids, concurrent sedatives, concurrent CNS depressants.",C,drugsdotcom,MEDIUM
acetaminophen and ibuprofen,pain,"hepatic impairment, severe renal failure, hypersensitivity to NSAIDs or acetaminophen, concurrent warfarin, aspirin, or corticosteroids, pregnancy (third trimester), severe hypertension, bleeding disorders, asthma, severe kidney disease, severe liver disease, severe heart failure, severe dehydration, severe electrolyte imbalance, severe bleeding disorders, severe kidney disease, severe liver disease,",N,drugsdotcom,UNKNOWN
